Valores Preditos,Valores Reais
3,4
4,5
4,6
4,6
5,7
5,7
5,7
5,7
5,7
6,7
6,7
6,8
6,8
6,8
6,8
7,8
7,8
7,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
9,15
9,15
9,15
9,15
9,15
9,15
9,15
9,15
9,15
9,15
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
11,12
11,12
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
12,14
12,14
12,14
12,14
12,14
12,14
12,14
12,20
12,20
13,20
13,20
13,20
18,20
18,20
18,20
18,16
18,16
18,16
18,16
14,16
14,16
14,16
14,17
14,17
14,17
15,18
15,18
16,19
16,19
16,19
16,22
19,23
